
system.cpu.int_regfile_reads,123156171,113998658,99788,66204274,8080946,91564536,85960102,32647,66204314,129252,2398701,17238811,93640,100289822,128032915,7836788,76995948,95706,30173283,35087221,295718,55326,30898,40322,74483,28883,21676,47650,34491,70181513,1106821,7102481,109187635,758108,37092,139758,92550,3027459,81977,
system.cpu.iew.wb_sent,91623779,79159945,75539,45023268,69468382,70280059,66143581,24502,45023354,96452,1799065,12450557,69814,79635442,82672492,69443176,54490858,71875,22829811,29823365,227257,40152,23113,29536,54834,21775,16614,35737,25880,42442701,784917,3774206,71041638,562717,28037,106004,69697,2156315,60865,
system.cpu.iew.wb_producers,54208644,56893724,50721,28480342,56570812,53299258,51209100,16412,27980327,65401,929171,9005761,46758,40313061,54955549,55976649,41991980,48027,16520048,19920942,156919,26406,15070,19522,37113,14568,10875,24054,17354,31145812,543358,2843004,35430733,362291,18650,72243,46150,1498563,40882,
system.cpu.iew.wb_count,91532472,78612788,74474,45023050,69466998,70027940,65981687,24121,45023085,95027,1798622,12332423,68673,79635153,81666020,69442864,54417666,70832,22642909,29822170,225322,39578,22742,29193,54049,21452,16369,35251,25449,42428917,776884,3763999,70814973,561397,27577,104531,68665,2135427,59938,
system.cpu.iew.wb_consumers,67329318,87899340,79361,44626411,104144392,65233274,60965660,25323,44126326,102621,1284183,14697960,72706,51692079,86731975,103951257,62431684,76351,25959228,26449206,259975,40289,23045,29578,59178,22374,16374,37304,26690,53763063,882873,5093097,53601437,535973,28719,111965,72270,2396996,64614,
system.cpu.iew.lsq.thread0.rescheduledLoads,2,21671,11,2,2,4,5,3,2,10,1,1247,9,2,2,3,21061,3,674,5,14,3,1,2,4,4,4,3,1,55,224,127,1525,11,2,7,8,89,8,
system.cpu.misc_regfile_reads,48585120,33124235,33131,8940061,3202843,31647378,30311006,11118,8940098,42095,799478,5234184,30842,34874126,38311391,3134058,18067514,30568,9139353,10940377,88945,18697,10399,13602,23847,9939,7700,15886,11547,15453280,329948,1310697,41073586,220348,12549,45345,30736,932071,26411,
system.cpu.memDep0.insertedLoads,13507719,10811232,11365,1657760,36278,16440630,16156971,3575,1657661,14366,201010,1906815,10564,4081492,18138231,2417,8145424,10104,2875465,1276961,29137,6382,3383,4273,7882,3215,2229,5402,3806,4594110,109259,449354,4572382,24295,4250,15765,10236,321735,8752,
system.cpu.memDep0.conflictingStores,1437422,426830,191,655462,538,7492927,6777863,79,655478,289,113,63484,272,370880,7543273,39,152232,129,45212,291,997,160,94,85,125,62,46,130,72,106733,4643,1487,152728,490,165,463,189,10435,169,
system.cpu.memDep0.conflictingLoads,4670573,750704,249,1655476,925,14425853,12993230,94,1655478,463,146,79988,274,370880,11566428,35,258845,147,32630,520,1131,180,83,90,172,87,46,149,89,595010,2822,4567,125332,1132,122,696,262,15683,176,
system.cpu.memDep0.insertedLoads,13507719,10811232,11365,1657760,36278,16440630,16156971,3575,1657661,14366,201010,1906815,10564,4081492,18138231,2417,8145424,10104,2875465,1276961,29137,6382,3383,4273,7882,3215,2229,5402,3806,4594110,109259,449354,4572382,24295,4250,15765,10236,321735,8752,13507719,10811232,11365,1657760,36278,16440630,16156971,3575,1657661,14366,201010,1906815,10564,4081492,18138231,2417,8145424,10104,2875465,1276961,29137,6382,3383,4273,7882,3215,2229,5402,3806,4594110,109259,449354,4572382,24295,4250,15765,10236,321735,8752,
system.cpu.misc_regfile_reads,48585120,33124235,33131,8940061,3202843,31647378,30311006,11118,8940098,42095,799478,5234184,30842,34874126,38311391,3134058,18067514,30568,9139353,10940377,88945,18697,10399,13602,23847,9939,7700,15886,11547,15453280,329948,1310697,41073586,220348,12549,45345,30736,932071,26411,48585120,33124235,33131,8940061,3202843,31647378,30311006,11118,8940098,42095,799478,5234184,30842,34874126,38311391,3134058,18067514,30568,9139353,10940377,88945,18697,10399,13602,23847,9939,7700,15886,11547,15453280,329948,1310697,41073586,220348,12549,45345,30736,932071,26411,
system.cpu.rename.CommittedMaps,79566961,74894357,53772,58604859,70227789,65656086,66985905,17163,58604861,70855,2182028,10362363,48957,72333015,54994993,70213851,71970057,50548,19580396,36328998,172469,26917,14960,22868,39902,14656,10556,25006,17780,45827579,644071,4795896,54041604,686172,17640,77130,48792,1760518,43135,
system.cpu.rename.RenamedOperands,83942699,116497721,120094,58622226,70369889,103228831,96753135,38395,58622367,154007,2211242,20449411,110689,72843145,87318458,70230797,80033349,114297,36506566,36478647,360503,63198,36720,41985,85962,34086,25478,57186,40869,48644873,1229054,5528491,68233811,793948,45849,174278,110447,3399601,96902,
system.cpu.rename.serializingInsts,3143068,99580,57,3310826,109,583324,434485,33,3310820,71,32,48,48,4079491,2011548,35,995,53,46,35,48,35,33,34,54,26,24,43,31,58,56,26,28429,46,29,68,55,91,53,
system.cpu.rob.rob_writes,186412554,188755750,202078,90060322,139040950,177070393,163601554,65017,90059839,257959,3620650,32276166,186791,159653882,204671509,138899596,115014183,191991,57517795,59753706,595260,108319,62490,73339,145108,58671,44440,95708,69302,86464658,2024941,8116279,152817715,1209859,77639,286993,187202,5557323,162599,
system.cpu.workload.numSyscalls,2693961,26311,30,12,27,11,10,14,12,44,18,18,20,3708603,25,9,17,30,31,16,28,15,13,12,28,13,9,22,13,21,25,9,16126,18,12,31,29,42,29,
